id,registrationId,疾患名,疾患略語,手法,調査種別,対象者種別,専門,実績数,問合せのみ,対象条件,薬剤,リクルート実施,モデレーター,クライアント,エンドクライアント,PJ番号,実施年月,登録担当,登録日
13,20251023-0013,転移性乳がん,Metastatic breast cancer,会場調査・IDI,定性,医師,乳腺外科,7,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上,イムルネストラント,キャンドゥ（日経）,橋本浩美,The Link Group,イーラリリー,Y12055255,2025/2/1,大塚,
14,20251023-0014,転移性乳がん,Metastatic breast cancer,会場調査・IDI,定性,医師,腫瘍内科,3,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上,イムルネストラント,キャンドゥ（日経）,橋本浩美,The Link Group,イーラリリー,Y12055255,2025/2/1,大塚,
15,20251023-0015,クローン病,"Crohn’s Disease, CD",IDI,定性,医師,消化器内科,10,FALSE,1ヶ月に診療する中等症、重症のクローン病患者が10人以上,"ミリキズマブ,オンボー",キャンドゥ,木藤絵里,The Link Group,イーラリリー,Y01001167,2024/3/1,大塚,
16,20251023-0016,アルツハイマー型認知症,"Alzheimer's Disease, AD",IDI,定性,医師,精神科,6,FALSE,軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,OGA阻害剤,キャンドゥ,橋本浩美,The Link Group,イーラリリー,Y01051167,2024/3/1,大塚,
17,20251023-0017,アルツハイマー型認知症,"Alzheimer's Disease, AD",IDI,定性,医師,神経内科,6,FALSE,軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,OGA阻害剤,キャンドゥ,橋本浩美,The Link Group,イーラリリー,Y01051167,2024/3/1,大塚,
18,20251023-0018,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,神経内科,7,FALSE,院内でMRI検査可、軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,木藤絵里,The Link Group,イーラリリー,Y02023167,2024/7/1,大塚,
19,20251023-0019,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,精神科,3,FALSE,院内でMRI検査可、軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,木藤絵里,The Link Group,イーラリリー,Y02023167,2024/7/1,大塚,
20,20251023-0020,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,内科,8,FALSE,過去1年に認知症外来に3名以上紹介、軽度認知障害(MCI)と軽度アルツハイマー型認知症を10人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,木藤絵里,The Link Group,イーラリリー,Y02023167,2024/7/1,大塚,
21,20251023-0021,慢性閉塞性肺疾患,"Chronic Obstructive Pulmonary Disease, COPD",IDI,定性,医師,呼吸器内科,8,FALSE,COPD患者を月に41名以上診察、直近３ヶ月間に3種類の治療法を10人以上に実施,トゾラキマブ,キャンドゥ,斉藤靖雄,The Link Group,アストラゼネカ,Y09047167,2024/11/1,大塚,
22,20251023-0022,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD",IDI,定性,患者,,16,FALSE,55~79歳のアルツハイマー病及び、認知症（血管性、レビー小体型、ピック型、前頭側頭型を含む） と診断されたことのないプレクリニカル患者及びMCI患者,"ドナネマブ,ケサンラ",アスマーク,橋本浩美,The Link Group,イーライリリー,Y09062167,2024/12/1,大塚,
23,20251023-0023,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,神経内科,8,FALSE,院内でMRI検査可、レカネマブの初回投与が可能な施設、軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y06059179,2024/9/1,大塚,
24,20251023-0024,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,精神科,2,FALSE,院内でMRI検査可、レカネマブの初回投与が可能な施設、軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y06059179,2024/9/1,大塚,
25,20251023-0025,プレクリニカルアルツハイマー病／軽度認知障害,"Preclinical Alzheimer's Disease, PCAD, MCI",会場調査・IDI,定性,医師,神経内科,6,FALSE,院内でMRI検査可、軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ（日経）,橋本浩美,The Link Group,イーライリリー,Y06061186,2024/10/1,大塚,
26,20251023-0026,プレクリニカルアルツハイマー病／軽度認知障害,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,内科,5,FALSE,軽度認知障害(MCI)と軽度アルツハイマー型認知症を10人以上診療,"ドナネマブ,ケサンラ",キャンドゥ（日経）,橋本浩美,The Link Group,イーライリリー,Y06061186,2024/10/1,大塚,
27,20251023-0027,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,患者,,10,FALSE,脳神経系の疾患の診断を受けておらず、薬や自分の将来について積極的であること,"ドナネマブ,ケサンラ",アスマーク,橋本浩美,The Link Group,イーライリリー,Y06061186,2024/10/1,大塚,
28,20251023-0028,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,介護者,,3,FALSE,脳神経系の疾患の診断を受けておらず、薬や自分の将来について積極的な患者さんを介護しているご家族,"ドナネマブ,ケサンラ",アスマーク,橋本浩美,The Link Group,イーライリリー,Y06061186,2024/10/1,大塚,
29,20251023-0029,転移性乳がん,Metastatic breast cancer,会場調査・IDI,定性,医師,乳腺外科,9,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上。,イムルネストラント,キャンドゥ（日経）,米村雅之,The Link Group,イーライリリー,Y07073186,2024/11/1,大塚,
30,20251023-0030,転移性乳がん,Metastatic breast cancer,会場調査・IDI,定性,医師,腫瘍内科,3,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上。,イムルネストラント,キャンドゥ（日経）,米村雅之,The Link Group,イーライリリー,Y07073186,2024/11/1,大塚,
31,20251023-0031,鼻茸を伴う慢性副鼻腔炎,"Chronic Rhinosinusitis with Nasal Polyps, CRSwNP",IDI,定性,患者,,3,FALSE,鼻茸を伴う慢性副鼻腔炎と診断され、生物学的製剤などの薬剤を使用したことがある,"レブリキズマブ,イブグリース",アスマーク,国吉尚子,The Link Group,イーライリリー,Y08044167,2024/11/1,大塚,
32,20251023-0032,プレクリニカルアルツハイマー病／軽度認知障害,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,内科,12,FALSE,"MCI,軽度アルツハイマー型認知症患者を10人以上診療し、そのうちの30％以上がMCIやアルツハイマーの治療のために処方薬を飲んでいる","ドナネマブ,ケサンラ",キャンドゥ,国吉尚子,The Link Group,イーライリリー,Y08049186,2024/10/1,大塚,
33,20251023-0033,プレクリニカルアルツハイマー病／軽度認知障害,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,神経内科,6,FALSE,"MCI,軽度アルツハイマー型認知症患者を20人以上を診療し、そのうちの30％以上がMCIやアルツハイマーの治療のために処方薬を飲んでいる","ドナネマブ,ケサンラ",キャンドゥ,国吉尚子,The Link Group,イーライリリー,Y08049186,2024/10/1,大塚,
34,20251023-0034,注意欠如・多動性障害,"Attention Deficit Hyperactivity Disorder, ADHD",IDI,定性,医師,精神科,5,FALSE,1ヶ月に診療するADHD患者が25人以上,センタナファジン,キャンドゥ,国吉尚子,The Link Group,大塚製薬,Y02054186,2024/4/1,大塚,
35,20251023-0035,注意欠如・多動性障害,"Attention Deficit Hyperactivity Disorder, ADHD",IDI,定性,医師,小児精神科,5,FALSE,1ヶ月に診療するADHD患者が25人以上,センタナファジン,キャンドゥ,国吉尚子,The Link Group,大塚製薬,Y02054186,2024/4/1,大塚,
36,20251023-0036,注意欠如・多動性障害,"Attention Deficit Hyperactivity Disorder, ADHD",IDI,定性,医師,小児科,5,FALSE,1ヶ月に診療するADHD患者が41人以上,センタナファジン,キャンドゥ,国吉尚子,The Link Group,大塚製薬,Y02054186,2024/4/1,大塚,
37,20251023-0037,アトピー性皮膚炎,"Atopic Dermatitis, AD",会場調査・IDI,定性,医師,皮膚科,10,FALSE,1ヶ月にアトピー性皮膚炎の成人患者を10人以上診療,"レブリキズマブ,イブグリース",キャンドゥ,橋本浩美,The Link Group,イーライリリー,Y02072167,2024/4/1,大塚,
38,20251023-0038,IgA腎症,"IgA nephropathy, IgAN",IDI,定性,医師,腎臓内科,5,FALSE,平均的な12ヶ月間に、免疫グロブリンA腎症(IgA腎症/ベルジェ病)と診断された患者を10人以上診療,シベプレンリマブ,キャンドゥ,国吉尚子,The Link Group,大塚製薬,Y02075167,2024/6/1,大塚,
39,20251023-0039,IgA腎症,"IgA nephropathy, IgAN",IDI,定性,患者,,3,FALSE,IgA腎症の診断確定に腎生検を受けた、腎臓内科／腎臓専門医を受診している,シベプレンリマブ,アスマーク,国吉尚子,The Link Group,大塚製薬,Y02075167,2024/6/1,大塚,
40,20251023-0040,IgA腎症,"IgA nephropathy, IgAN",IDI,定性,患者,,1,FALSE,IgA腎症の診断確定に腎生検を受けた、腎臓内科／腎臓専門医を受診している,シベプレンリマブ,3H,国吉尚子,The Link Group,大塚製薬,Y02075167,2024/6/1,大塚,
41,20251023-0041,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",IDI,定性,医師,内科,4,FALSE,MCIと軽度アルツハイマー型認知症を10名以上診療している,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,Y03051167,2024/4/1,大塚,
42,20251023-0042,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",IDI,定性,医師,神経内科,3,FALSE,MCIと軽度アルツハイマー型認知症を20名以上診療している,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,Y03051167,2024/4/1,大塚,
43,20251023-0043,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",IDI,定性,医師,精神科,3,FALSE,MCIと軽度アルツハイマー型認知症を20名以上診療している,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,Y03051167,2024/4/1,大塚,
44,20251023-0044,鼻茸を伴う慢性副鼻腔炎,"Chronic Rhinosinusitis with Nasal Polyps, CRSwNP",IDI,定性,患者,,3,FALSE,鼻茸を伴う慢性副鼻腔炎と診断され、現在、アレルギー科、耳鼻咽喉科、アレルギー呼吸科のいずれかで診療を受けている。,"レブリキズマブ,イブグリース",アスマーク,橋本浩美,The Link Group,イーライリリー,Y03071167,2024/5/1,大塚,
45,20251023-0045,プレクリニカルアルツハイマー病,"Preclinical Alzheimer's Disease, PCAD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,患者,,12,FALSE,脳神経系の疾患の診断を受けておらず脳の健康状態に前向きであり、過去一年で目立った記憶力の低下がない,"ドナネマブ,ケサンラ",アスマーク,橋本浩美,The Link Group,イーライリリー,Y03093167,2024/7/1,大塚,
46,20251023-0046,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,内科,6,FALSE,施設にMRIがなく、抗アミロイドβ抗体の初回投与は不可、6ヶ月以降であれば投与可、MCIと軽度ADを10人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y04004167,2024/6/1,大塚,
47,20251023-0047,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,精神科,3,FALSE,施設にMRIがなく、抗アミロイドβ抗体の初回投与は不可、6ヶ月以降であれば投与可、MCIと軽度ADを10人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y04004167,2024/6/1,大塚,
48,20251023-0048,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",会場調査・IDI,定性,医師,神経内科,3,FALSE,施設にMRIがなく、抗アミロイドβ抗体の初回投与は不可、6ヶ月以降であれば投与可、MCIと軽度ADを10人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y04004167,2024/6/1,大塚,
49,20251023-0049,慢性神経障害性疼痛,Chronic neuropathic pain,IDI,定性,医師,神経内科,2,FALSE,過去3ヶ月に多発神経障害又は末梢神経障害痛の患者さんを20名以上診察,SSTR4アゴニスト,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y04009167,2024/5/1,大塚,
50,20251023-0050,慢性神経障害性疼痛,Chronic neuropathic pain,IDI,定性,医師,痛み専門医,2,FALSE,過去3ヶ月に多発神経障害又は末梢神経障害痛の患者さんを20名以上診察,SSTR4アゴニスト,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y04009167,2024/5/1,大塚,
51,20251023-0051,慢性神経障害性疼痛,Chronic neuropathic pain,IDI,定性,医師,整形外科,4,FALSE,過去3ヶ月に多発神経障害又は末梢神経障害痛の患者さんを20名以上診察,SSTR4アゴニスト,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y04009167,2024/5/1,大塚,
52,20251023-0052,慢性神経障害性疼痛,Chronic neuropathic pain,IDI,定性,医師,内分泌代謝科/糖尿病内科,2,FALSE,過去3ヶ月に多発神経障害又は末梢神経障害痛の患者さんを10名以上診察,SSTR4アゴニスト,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y04009167,2024/5/1,大塚,
53,20251023-0053,慢性神経障害性疼痛,Chronic neuropathic pain,IDI,定性,医師,内科,2,FALSE,過去3ヶ月に多発神経障害又は末梢神経障害痛の患者さんを10名以上診察,SSTR4アゴニスト,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y04009167,2024/5/1,大塚,
54,20251023-0054,クローン病・潰瘍性大腸炎,"Crohn's Disease, CD/Ulcerative Colitis, UC",IDI,定性,医師,消化器内科,10,FALSE,1ヶ月に中等度～重度のクローン病と潰瘍性大腸炎の患者を10人以上診療,"ミリキズマブ,オンボー",キャンドゥ,橋本浩美,The Link Group,イーライリリー,Y04016167,2024/5/1,大塚,
55,20251023-0055,急性骨髄性白血病,"Acute Myeloid Leukemia, AML",IDI,定性,医師,血液内科,10,FALSE,過去6ヶ月に急性骨髄性白血病患者（急性前骨髄球性白血病(APL、M3サブタイプ)は除く）を1人以上診療,"ベネクレクスタ,ベネトクラクス",キャンドゥ,斉藤靖雄,The Link Group,アッヴィ,Y05005167,2024/10/1,大塚,
56,20251023-0056,転移性乳がん,Metastatic breast cancer,IDI,定性,医師,腫瘍内科,2,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上,イムルネストラント,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y06019179,2024/7/1,大塚,
57,20251023-0057,転移性乳がん,Metastatic breast cancer,IDI,定性,医師,乳腺外科,4,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上。,イムルネストラント,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y06019179,2024/7/1,大塚,
58,20251023-0058,IgA腎症,"IgA nephropathy, IgAN",IDI,定性,医師,腎臓内科,6,FALSE,12ヶ月間に免疫グロブリンA腎症と診断された患者を2人以上診療,シベプレンリマブ,キャンドゥ,国吉尚子,The Link Group,大塚製薬,Y06076186,2024/8/1,大塚,
59,20251023-0059,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,医師,内科,5,FALSE,１ヶ月に軽度及び中等度～重度アルコール使用障害患者を26人以上診療している精神科医、消化器専門医、または軽度アルコール使用患者を11人以上診療しているかかりつけ医,"チルゼパチド,マンジャロ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
60,20251023-0060,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,医師,精神科,4,FALSE,１ヶ月に軽度及び中等度～重度アルコール使用障害患者を26人以上診療している精神科医、消化器専門医、または軽度アルコール使用患者を11人以上診療しているかかりつけ医,"チルゼパチド,マンジャロ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
61,20251023-0061,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,医師,消化器内科,4,FALSE,１ヶ月に軽度及び中等度～重度アルコール使用障害患者を26人以上診療している精神科医、消化器専門医、または軽度アルコール使用患者を11人以上診療しているかかりつけ医,"チルゼパチド,マンジャロ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
62,20251023-0062,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,医師,禁煙外来,4,FALSE,１ヶ月に軽度及び中等度～重度アルコール使用障害患者を26人以上診療している精神科医、消化器専門医、または軽度アルコール使用患者を11人以上診療しているかかりつけ医,"チルゼパチド,マンジャロ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
63,20251023-0063,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,医師,呼吸器内科,4,FALSE,１ヶ月に軽度及び中等度～重度アルコール使用障害患者を26人以上診療している精神科医、消化器専門医、または軽度アルコール使用患者を11人以上診療しているかかりつけ医,"チルゼパチド,マンジャロ",キャンドゥ,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
64,20251023-0064,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,患者,,8,FALSE,週に1～2回以上アルコールを飲む,"チルゼパチド,マンジャロ",アスマーク,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
65,20251023-0065,アルコール・タバコ使用障害,Alcohol and Tobacco Use Disorders,会場調査・IDI,定性,患者,,8,FALSE,1日に何度も紙巻タバコを吸う,"チルゼパチド,マンジャロ",アスマーク,米村雅之,The Link Group,イーライリリー,Y07066167,2024/9/1,大塚,
66,20251023-0066,筋層浸潤性膀胱がん,"Muscle Invasive Bladder Cancer, MIBC",IDI,定性,医師,泌尿器科,6,FALSE,過去3ヶ月間に尿路上皮がん患者を10人以上診療、筋層浸潤性膀胱がん /ステージII-IVA患者を５名以上診療,,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,Y08029179,2024/10/1,大塚,
67,20251023-0067,クローン病,"Crohn's disease, CD",IDI,定性,患者,,7,FALSE,中等度から重度のクローン病で3～25年前に診断され、治療薬を現在服用／使用している、または過去に服用／使用していた,"ミリキズマブ,オンボー",アスマーク,木藤絵里,The Link Group,イーライリリー,X09060186,2024/1/1,大塚,
68,20251023-0068,クローン病,"Crohn's disease, CD",IDI,定性,患者,,1,FALSE,中等度から重度のクローン病で3～25年前に診断され、治療薬を現在服用／使用している、または過去に服用／使用していた,"ミリキズマブ,オンボー",3H,木藤絵里,The Link Group,イーライリリー,X09060186,2024/1/1,大塚,
69,20251023-0069,転移性乳がん,Metastatic breast cancer,IDI,定性,医師,腫瘍内科,3,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上。,イムルネストラント,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,X11017167,2024/2/1,大塚,
70,20251023-0070,転移性乳がん,Metastatic breast cancer,IDI,定性,医師,乳腺外科,9,FALSE,過去3ヶ月に治療や診断したホルモン受容体陽性・HER 2 陰性（HR+ HER2-）のステージ4の乳がん患者が10人以上、またはCDK4/6阻害薬の薬物治療が10％以上。,イムルネストラント,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,X11017167,2024/2/1,大塚,
71,20251023-0071,筋層非浸潤性膀胱がん・筋層浸潤性膀胱がん,"Non-Muscle Invasive Bladder Cancer, NMIBC, Muscle Invasive Bladder Cancer, MIBC",IDI,定性,医師,泌尿器科,10,FALSE,過去３ヶ月に膀胱がん患者を10人以上診療、筋層非浸潤性膀胱がんステージ0-I 5人以上、筋層浸潤性膀胱がんステージII-IVA,,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,X11027167,2024/2/1,大塚,
72,20251023-0072,統合失調症,Schizophrenia,IDI,定性,患者,,4,FALSE,１年以上前に診断を受け、1年以内に医師の診察を受けている18～64歳の統合失調症患者,ウロタロント,アスマーク,坂本麗⾐,The Link Group,大塚製薬,X02014167,2023/4/1,大塚,
73,20251023-0073,統合失調症,Schizophrenia,IDI,定性,介護者,,4,FALSE,１年以上前に診断を受け、1年以内に医師の診察を受けている18～64歳の統合失調症患者さんをサポートしているご家族,ウロタロント,アスマーク,坂本麗⾐,The Link Group,大塚製薬,X02014167,2023/4/1,大塚,
74,20251023-0074,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,内科,6,FALSE,軽度認知障害(MCI)と軽度アルツハイマー型認知症を10人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,X02011167,2023/2/1,大塚,
75,20251023-0075,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,神経内科,3,FALSE,軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,X02011167,2023/2/1,大塚,
76,20251023-0076,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,精神科,3,FALSE,軽度認知障害(MCI)と軽度アルツハイマー型認知症を20人以上診療,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,X02011167,2023/2/1,大塚,
77,20251023-0077,転移性前立腺がん,Metastatic Prostate Cancer,IDI,定性,医師,泌尿器科,12,FALSE,過去1ヶ月に前立腺がん患者を３人以上診察し、転移性去勢抵抗性前立腺がん、転移性去勢感受性前立腺がんをそれぞれ3人以上いる,"アベマシクリブ,ベージニオ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,W11054167,2023/4/1,大塚,
78,20251023-0078,統合失調症,Schizophrenia,IDI,定性,医師,精神科,4,FALSE,治療や管理している統合失調症患者を40人以上診療,ウロタロント,キャンドゥ,国吉尚子,The Link Group,大塚製薬,X03069167,2023/5/1,大塚,
79,20251023-0079,統合失調症,Schizophrenia,IDI,定性,医師,精神科,4,FALSE,治療や管理している統合失調症患者を40人以上診療,ウロタロント,キャンドゥ,国吉尚子,The Link Group,大塚製薬,X03014167,2023/3/1,大塚,
