diff --git a//dev/null b/index.csv
index 0000000000000000000000000000000000000000..d92eb7d6c22aa820363ecf585eb33179aa7d7770 100644
--- a//dev/null
+++ b/index.csv
@@ -0,0 +1,69 @@
+id,question,answer,categories,primary
+Q53,"What should we be careful about when translating into Japanese?","Avoid literalism for idioms; ensure correct clinical terms and regulatory phrasing; add brief cultural context where needed.","Fieldwork;Operations;Compliance","Fieldwork"
+Q54,"What is an appropriate survey length for healthcare professionals and patients in Japan?","For HCPs, keep interviews concise (often 20–30 minutes); for patients, allow more time and simpler structures.","Fieldwork;HCP;Patients;Operations","Fieldwork"
+Q55,"What are the typical response patterns of Japanese participants to open-ended questions?","Responses may be concise; use probes and examples; create a safe, respectful atmosphere.","Fieldwork;Patients;HCP","Fieldwork"
+Q56,"Why is an In-Country Review necessary?","To validate translation, clinical/regulatory fit, and cultural nuance before launch; reduces risk and rework.","Fieldwork;Operations;Compliance","Fieldwork"
+Q57,"Why is qualitative research often perceived as difficult to conduct in Japan?","Time constraints, modest self-expression norms, and recruitment challenges; mitigated by careful design and moderation.","Fieldwork;Operations","Fieldwork"
+Q58,"Why do Japanese participants tend to be hesitant in sharing their opinions, and how can we effectively draw out their honest thoughts?","Build rapport, use non-leading questions, and allow silence; normalize differing views to reduce social pressure.","Fieldwork;Operations","Fieldwork"
+Q59,"Japanese participants tend to speak less during interviews. If responses are limited, does it mean the research cannot be considered valid? How should we address this issue?","Shorter responses do not equal low insight; structure probes, triangulate with quant or diaries, and interpret in cultural context.","Fieldwork;Operations","Fieldwork"
+Q60,"What should we be mindful of to ensure that participants feel comfortable sharing their thoughts during a group interview in Japan?","Set norms, manage turn-taking, and use warm-up rounds; watch hierarchy effects and ensure psychological safety.","Fieldwork;Operations;HCP;Patients","Fieldwork"
+Q61,"What considerations or precautions should overseas clients keep in mind when observing interviews or focus groups conducted in Japan?","Brief observers on etiquette; avoid visible reactions; use backroom chat discreetly; protect anonymity and consent.","Fieldwork;Operations;Compliance","Fieldwork"
+Q62,"What legal and ethical considerations are necessary when conducting market research in the healthcare field in Japan?","Follow national laws, industry codes, and data protection guidelines; obtain informed consent and avoid promotional framing.","Compliance","Compliance"
+Q63,"What should be considered regarding the handling of personal information when conducting healthcare-related market research in Japan?","Minimize PII, use anonymized IDs, secure storage, and controlled access; share aggregated insights only.","Compliance;Operations","Compliance"
+Q64,"When requesting participation from healthcare professionals or patients in Japan, how should informed consent be obtained, and what key points should be explained to them?","Explain purpose, data use, recording, confidentiality, and incentives; obtain written or verifiable digital consent.","Compliance;Fieldwork;HCP;Patients","Compliance"
+Q65,"Is it acceptable to provide honoraria to physicians and patients for participating in market research in Japan? What criteria should be used to determine appropriate compensation?","Yes within ethical standards; base amounts on time, expertise, and market benchmarks; document methods and taxes.","Compliance;Operations;HCP;Patients","Compliance"
+Q66,"Are there any considerations to keep in mind when setting the schedule for a research project commissioned to a Japanese research agency?","Account for holidays, approvals, translation/ICR time, and clinic hours; build buffers for recruitment.","Timeline;Operations","Timeline"
+Q67,"How can the expertise of analysts and Key Opinion Leader (KOL) networks within Japanese research agencies be effectively utilized in healthcare research?","Engage early for screener/refinement and sampling; leverage KOLs for feasibility checks and interpretation.","Operations;HCP;Fieldwork","Operations"
+Q68,"In Japan, is it possible to recruit physicians from a target list?","Possible with compliance and permissions; confirm list source/consent, avoid unsolicited contact, and align with codes.","Compliance;Fieldwork;HCP;Operations","Compliance"
